Player 1 settings:
Experiment Name, C=0
Player Type, computer
Player Code, 1
AI Type, mcts
Is Parallelised, true
Minimax Depth, 2
Minimax Time Limit, 5
MCTS Time Limit, 5
MCTS Iteration Limit, 10000
Root Parallelised, true
Exploration Constant, 0
RAVE Bias, 0.5

Player 2 settings:
Experiment Name, C=1.0
Player Type, computer
Player Code, 2
AI Type, mcts
Is Parallelised, true
Minimax Depth, 2
Minimax Time Limit, 5
MCTS Time Limit, 5
MCTS Iteration Limit, 10000
Root Parallelised, true
Exploration Constant, 1
RAVE Bias, 0.5

Played first, Winner
1, 2
2, 1
1, 2
2, 1
1, 2
2, 1
1, 2
2, 1
1, 2
2, 1
1, 2
2, 1
1, 2
2, 1
1, 2
2, 1
1, 2
2, 1
1, 2
2, 1
